id,programa_id,nombre,descripcion,created_at,updated_at,deleted_at
236,254,2016B,SEMESTRAL,2021/01/08 10:05,1900/01/01 00:00,1900/01/01 00:00
237,361,2018B,SEMESTRAL ,2021/01/08 10:17,1900/01/01 00:00,1900/01/01 00:00
238,361,2019A,SEMESTRAL ,2021/01/08 10:55,1900/01/01 00:00,1900/01/01 00:00
239,254,2017A,SEMESTRAL,2021/01/08 11:09,1900/01/01 00:00,1900/01/01 00:00
240,252,2017A,SEMESTRAL,2021/01/08 11:14,1900/01/01 00:00,1900/01/01 00:00
241,361,2019B,SEMESTRAL ,2021/01/08 12:01,1900/01/01 00:00,1900/01/01 00:00
242,361,2020A,SEMESTRAL ,2021/01/08 12:28,1900/01/01 00:00,1900/01/01 00:00
243,254,2017B,SEMESTRAL,2021/01/08 14:02,1900/01/01 00:00,1900/01/01 00:00
244,254,2018A,SEMESTRAL,2021/01/19 15:40,2021/01/19 15:40,1900/01/01 00:00
245,252,2017B,SEMESTRAL,2021/01/20 10:01,1900/01/01 00:00,1900/01/01 00:00
246,252,2018A,SEMESTRAL,2021/01/20 10:57,1900/01/01 00:00,1900/01/01 00:00
247,274,2015A,CUATRIMESTRAL ,2021/01/21 12:46,2021/01/21 12:47,1900/01/01 00:00
248,274,2015B,CUATRIMESTRAL ,2021/01/21 12:46,1900/01/01 00:00,1900/01/01 00:00
249,274,2015C,CUATRIMESTRAL ,2021/01/21 12:46,1900/01/01 00:00,1900/01/01 00:00
250,274,2016A,CUATRIMESTRAL ,2021/01/21 12:47,1900/01/01 00:00,1900/01/01 00:00
251,274,2016B,CUATRIMESTRAL ,2021/01/21 12:47,1900/01/01 00:00,1900/01/01 00:00
252,274,2016C,CUATRIMESTRAL ,2021/01/21 12:47,1900/01/01 00:00,1900/01/01 00:00
253,274,2017A,CUATRIMESTRAL ,2021/01/21 12:47,1900/01/01 00:00,1900/01/01 00:00
254,274,2017B,CUATRIMESTRAL ,2021/01/21 12:48,1900/01/01 00:00,1900/01/01 00:00
255,274,2017C,CUATRIMESTRAL ,2021/01/21 12:48,1900/01/01 00:00,1900/01/01 00:00
256,274,2018A,CUATRIMESTRAL ,2021/01/21 12:48,1900/01/01 00:00,1900/01/01 00:00
257,274,2018B,CUATRIMESTRAL ,2021/01/21 12:48,1900/01/01 00:00,1900/01/01 00:00
258,274,2018C,CUATRIMESTRAL ,2021/01/21 12:49,1900/01/01 00:00,1900/01/01 00:00
259,274,2019A,CUATRIMESTRAL ,2021/01/21 12:49,1900/01/01 00:00,1900/01/01 00:00
260,274,2019B,CUATRIMESTRAL ,2021/01/21 12:49,1900/01/01 00:00,1900/01/01 00:00
261,274,2019C,CUATRIMESTRAL ,2021/01/21 12:49,2021/01/21 12:49,1900/01/01 00:00
262,274,2020A,CUATRIMESTRAL ,2021/01/21 12:50,1900/01/01 00:00,1900/01/01 00:00
263,274,2020B,CUATRIMESTRAL ,2021/01/21 12:50,1900/01/01 00:00,1900/01/01 00:00
264,274,2020C,CUATRIMESTRAL ,2021/01/21 12:50,1900/01/01 00:00,1900/01/01 00:00
265,206,2021A,CUATRIMESTRAL,2021/01/26 12:12,1900/01/01 00:00,1900/01/01 00:00
